,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,is_location_exact,property_type,price,weekly_price,monthly_price,neighbourhood_cleansed_index,neighbourhood_group_cleansed_index,property_type_index
180,Palos de Moguer,Arganzuela,28045.0,40.40642345830157,-3.6950960747860666,1,Apartment,66.0,415.0,1512.0,26,2,0
181,Estrella,Retiro,28007.0,40.40782159172388,-3.669042973986034,1,Apartment,21.0,145.0,450.0,33,3,0
182,Adelfas,Retiro,28007.0,40.40606057880854,-3.6688983739016403,1,Apartment,76.0,380.0,905.0,32,3,0
183,Sol,Centro,28012.0,40.415963435628,-3.70301852198919,1,Apartment,82.0,445.0,1620.0,16,1,0
184,Universidad,Centro,28004.0,40.4234178638679,-3.7045414651782047,1,Apartment,81.0,445.0,1620.0,15,1,0
185,Valdeacederas,Tetuán,28029.0,40.46537905463309,-3.697659955494688,1,Apartment,95.0,350.0,1300.0,65,6,0
186,Universidad,Centro,28015.0,40.42434626583246,-3.708308225367159,1,Apartment,95.0,420.0,1350.0,15,1,0
187,Palacio,Centro,28005.0,40.41042790107283,-3.709436604702863,1,Apartment,99.0,623.0,2154.0,11,1,0
188,Goya,Salamanca,28001.0,40.42822681518147,-3.6777587274283237,1,Apartment,24.0,145.0,450.0,42,4,0
189,Cortes,Centro,28014.0,40.41262388185904,-3.698824020504349,1,Apartment,56.0,345.0,1295.0,13,1,0
190,Sol,Centro,28013.0,40.417361947824595,-3.700123617194468,1,Loft,155.0,1085.0,4650.0,16,1,2
191,Hispanoamérica,Chamartín,28016.0,40.453178078545186,-3.671913128150125,1,Chalet,48.0,295.0,950.0,54,5,11
192,Palacio,Centro,28012.0,40.41282315555753,-3.7074868653065627,1,Apartment,66.0,356.0,1296.0,11,1,0
193,Embajadores,Centro,28012.0,40.40780834847714,-3.702451179740728,1,Apartment,65.0,465.0,1470.0,12,1,0
194,Guindalera,Salamanca,28028.0,40.43787735676759,-3.667052788780584,1,Apartment,49.0,343.0,1470.0,44,4,0
195,Universidad,Centro,28004.0,40.426020698177936,-3.7050157698094086,1,Apartment,38.0,266.0,1000.0,15,1,0
196,Sol,Centro,28013.0,40.41837194817665,-3.703208598842305,1,Apartment,72.0,504.0,2160.0,16,1,0
197,Justicia,Centro,28004.0,40.42637902608642,-3.699574030316692,1,Apartment,72.0,504.0,2160.0,14,1,0
198,Justicia,Centro,28004.0,40.4214648211306,-3.699407837445162,1,Apartment,43.0,301.0,900.0,14,1,0
199,Cuatro Caminos,Tetuán,28020.0,40.454825116356346,-3.6999404208455777,1,Apartment,30.0,150.0,395.0,62,6,0
200,Embajadores,Centro,28012.0,40.41199408155761,-3.7030109654728176,1,Apartment,65.0,420.0,1500.0,12,1,0
201,Universidad,Centro,28015.0,40.42961117470911,-3.7085102022188985,1,Condominium,110.0,700.0,2200.0,15,1,7
202,Embajadores,Centro,28012.0,40.41268109204176,-3.701247361306439,1,Apartment,65.0,420.0,1500.0,12,1,0
203,Bellas Vistas,Tetuán,28039.0,40.447978168401434,-3.705891553079563,1,Apartment,80.0,500.0,1000.0,61,6,0
204,Universidad,Centro,28004.0,40.42310508969295,-3.704817531727243,1,Apartment,25.0,175.0,310.0,15,1,0
205,Casa de Campo,Moncloa - Aravaca,28008.0,40.42934455374912,-3.7222856365139023,1,Apartment,32.0,230.0,700.0,91,9,0
206,Prosperidad,Chamartín,28002.0,40.44462240402385,-3.6730071884727233,1,Apartment,85.0,600.0,1700.0,52,5,0
207,Palacio,Centro,28013.0,40.4150180330829,-3.709733547619081,1,Apartment,36.0,252.0,1080.0,11,1,0
208,Universidad,Centro,28012.0,40.42065696789537,-3.7049399980702185,0,Apartment,82.0,416.0,1512.0,15,1,0
209,Palacio,Centro,28012.0,40.412574804347955,-3.7087198529028544,1,Apartment,25.0,175.0,750.0,11,1,0
210,Lista,Salamanca,28006.0,40.42987459442745,-3.6783633078497537,0,Apartment,70.0,400.0,2100.0,45,4,0
211,Puerta del Angel,Latina,28011.0,40.40998677086936,-3.72436621035618,1,Apartment,20.0,140.0,465.0,102,10,0
212,Puerta del Angel,Latina,28011.0,40.411553938108334,-3.723706049290004,1,Apartment,20.0,140.0,465.0,102,10,0
213,Universidad,Centro,28004.0,40.423532158314956,-3.7030835195863654,1,Apartment,70.0,550.0,1500.0,15,1,0
214,Trafalgar,Chamberí,28010.0,40.42897400540068,-3.6971057180386877,1,Apartment,30.0,216.0,750.0,73,7,0
215,Trafalgar,Chamberí,28004.0,40.42975750888553,-3.702589419637599,0,Apartment,45.0,315.0,800.0,73,7,0
216,Universidad,Centro,28015.0,40.425946634932615,-3.7100029191832413,1,Apartment,55.0,270.0,1000.0,15,1,0
217,Comillas,Carabanchel,28019.0,40.39089626482104,-3.71201542464906,0,Guest suite,30.0,120.0,370.0,111,11,3
218,Universidad,Centro,28004.0,40.42524049908436,-3.7050428213609647,1,Apartment,81.0,446.0,1620.0,15,1,0
